transformTime,features,fitTime,testCount,trainCount,weightedPrecision,accuracy,weightedRecall,f1,algorithm,dataset,family,platformId,runId,mse,rmse,r2,mae,silhouette
7859.0,27.0,37824.0,2197869.0,8802130.0,,,,,RFR,DHG,regression,0,2,0.218227003260952,0.4671477317305008,0.3179766427766065,0.34244071016967664,
7860.0,27.0,37580.0,2197869.0,8802130.0,,,,,RFR,DHG,regression,0,1,0.2182270346981247,0.4671477653784986,0.31797654452622626,0.3424407684490399,
7665.0,27.0,37036.0,2197869.0,8802130.0,,,,,RFR,DHG,regression,0,0,0.21822702329754173,0.4671477531761678,0.31797658015638985,0.3424407576844351,
8689.0,27.0,47699.0,2198012.0,8801987.0,,,,,RFR,DHG,regression,1,2,0.217575819414706,0.4664502325165098,0.3176717404433288,0.3422117239702027,
8735.0,27.0,46728.0,2198012.0,8801987.0,,,,,RFR,DHG,regression,1,1,0.2175758754597514,0.4664502925926314,0.3176715646833641,0.3422119122790686,
8795.0,27.0,47028.0,2198012.0,8801987.0,,,,,RFR,DHG,regression,1,0,0.21748856470972755,0.4663566925752513,0.3179453754049081,0.34214926830802755,
7937.0,27.0,38277.0,2199001.0,8800998.0,,,,,RFR,DHG,regression,2,0,0.2190864128265628,0.4680666756206458,0.3154128606655593,0.3432125043797597,
7853.0,27.0,38050.0,2199001.0,8800998.0,,,,,RFR,DHG,regression,2,2,0.21908907883189385,0.4680695235025389,0.31540453010347896,0.3432154602011593,
7968.0,27.0,37450.0,2199001.0,8800998.0,,,,,RFR,DHG,regression,2,1,0.2190864234818766,0.4680666870029062,0.3154128273705196,0.3432124963304897,
7671.0,27.0,36398.0,2199737.0,8800262.0,,,,,RFR,DHG,regression,3,0,0.21921833705516908,0.4682075790236304,0.3133625624020421,0.34316219203825793,
7900.0,27.0,37095.0,2199737.0,8800262.0,,,,,RFR,DHG,regression,3,2,0.21921759059478405,0.4682067818761109,0.3133649004712604,0.3431621704516193,
7701.0,27.0,36369.0,2199737.0,8800262.0,,,,,RFR,DHG,regression,3,1,0.21921833212455066,0.4682075737582111,0.3133625778457644,0.34316218460093384,
9478.0,27.0,65762.0,2197354.0,8802645.0,,,,,RFR,DHG,regression,4,1,0.21840693552889748,0.4673402780939146,0.3156465337958787,0.3430583418459868,
9696.0,27.0,65522.0,2197354.0,8802645.0,,,,,RFR,DHG,regression,4,0,0.2183981258149316,0.4673308526247027,0.3156741380396461,0.3430470655262389,
9343.0,27.0,65477.0,2197354.0,8802645.0,,,,,RFR,DHG,regression,4,2,0.21840677853073973,0.4673401101240292,0.3156470257318751,0.3430580032925587,
8314.0,27.0,44109.0,2198012.0,8801987.0,,,,,RFR,DHG,regression,5,2,0.217488650675115,0.4663567847422346,0.3179451058133081,0.3421493963673951,
8737.0,27.0,43877.0,2198012.0,8801987.0,,,,,RFR,DHG,regression,5,1,0.21757623235728132,0.4664506751600659,0.3176704454355034,0.3422125630569703,
