dataset,algorithm,platformId,runId,CpuUsage,node,time,phase
DGS,DT-maxDepth-15-maxBins-32,1,1,0.2757793764988009,0,04/20/21 12 2021 16:12:42. 866,train
DGS,DT-maxDepth-15-maxBins-32,1,1,0.26699029126213586,0,04/20/21 12 2021 16:12:43. 887,train
DGS,DT-maxDepth-15-maxBins-32,1,1,0.5710843373493976,0,04/20/21 12 2021 16:12:44. 914,train
DGS,DT-maxDepth-15-maxBins-32,1,1,0.45107398568019114,0,04/20/21 12 2021 16:12:45. 962,train
DGS,DT-maxDepth-15-maxBins-32,1,1,0.35365853658536595,1,04/20/21 12 2021 16:12:41. 846,train
DGS,DT-maxDepth-15-maxBins-32,1,1,0.2757793764988009,1,04/20/21 12 2021 16:12:42. 866,train
DGS,DT-maxDepth-15-maxBins-32,1,1,0.26699029126213586,1,04/20/21 12 2021 16:12:43. 887,train
DGS,DT-maxDepth-15-maxBins-32,1,1,0.5710843373493976,1,04/20/21 12 2021 16:12:44. 914,train
DGS,DT-maxDepth-15-maxBins-32,1,1,0.45107398568019114,1,04/20/21 12 2021 16:12:45. 962,train
DGS,DT-maxDepth-15-maxBins-32,1,1,0.004878048780487809,1,04/20/21 12 2021 16:12:41. 398,train
DGS,DT-maxDepth-15-maxBins-32,1,1,0.007299270072992692,1,04/20/21 12 2021 16:12:42. 423,train
DGS,DT-maxDepth-15-maxBins-32,1,1,0.002439024390243905,1,04/20/21 12 2021 16:12:43. 449,train
DGS,DT-maxDepth-15-maxBins-32,1,1,0.0024449877750610804,1,04/20/21 12 2021 16:12:44. 474,train
DGS,DT-maxDepth-15-maxBins-32,1,1,0.004878048780487809,1,04/20/21 12 2021 16:12:45. 499,train
DGS,DT-maxDepth-15-maxBins-32,1,1,0.35365853658536595,2,04/20/21 12 2021 16:12:41. 846,train
DGS,DT-maxDepth-15-maxBins-32,1,1,0.2757793764988009,2,04/20/21 12 2021 16:12:42. 866,train
DGS,DT-maxDepth-15-maxBins-32,1,1,0.26699029126213586,2,04/20/21 12 2021 16:12:43. 887,train
DGS,DT-maxDepth-15-maxBins-32,1,1,0.5710843373493976,2,04/20/21 12 2021 16:12:44. 914,train
DGS,DT-maxDepth-15-maxBins-32,1,1,0.45107398568019114,2,04/20/21 12 2021 16:12:45. 962,train
DGS,DT-maxDepth-15-maxBins-32,1,1,0.004878048780487809,2,04/20/21 12 2021 16:12:41. 398,train
DGS,DT-maxDepth-15-maxBins-32,1,1,0.007299270072992692,2,04/20/21 12 2021 16:12:42. 423,train
DGS,DT-maxDepth-15-maxBins-32,1,1,0.002439024390243905,2,04/20/21 12 2021 16:12:43. 449,train
DGS,DT-maxDepth-15-maxBins-32,1,1,0.0024449877750610804,2,04/20/21 12 2021 16:12:44. 474,train
DGS,DT-maxDepth-15-maxBins-32,1,1,0.004878048780487809,2,04/20/21 12 2021 16:12:45. 499,train
DGS,DT-maxDepth-15-maxBins-32,1,1,0.004866180048661794,2,04/20/21 12 2021 16:12:41. 646,train
DGS,DT-maxDepth-15-maxBins-32,1,1,0.004866180048661794,2,04/20/21 12 2021 16:12:42. 672,train
DGS,DT-maxDepth-15-maxBins-32,1,1,0.004878048780487809,2,04/20/21 12 2021 16:12:43. 699,train
DGS,DT-maxDepth-15-maxBins-32,1,1,0.002439024390243905,2,04/20/21 12 2021 16:12:44. 725,train
DGS,DT-maxDepth-15-maxBins-32,1,1,0.007299270072992692,2,04/20/21 12 2021 16:12:45. 752,train
DGS,DT-maxDepth-15-maxBins-32,1,1,0.35365853658536595,3,04/20/21 12 2021 16:12:41. 846,train
DGS,DT-maxDepth-15-maxBins-32,1,1,0.2757793764988009,3,04/20/21 12 2021 16:12:42. 866,train
DGS,DT-maxDepth-15-maxBins-32,1,1,0.26699029126213586,3,04/20/21 12 2021 16:12:43. 887,train
DGS,DT-maxDepth-15-maxBins-32,1,1,0.5710843373493976,3,04/20/21 12 2021 16:12:44. 914,train
DGS,DT-maxDepth-15-maxBins-32,1,1,0.45107398568019114,3,04/20/21 12 2021 16:12:45. 962,train
