dataset,algorithm,platformId,runId,CpuUsage,node,timeIndex,phase
DDF,LR,0,1,0.10362047440699133,2,50,train
DDF,LR,0,0,0.09464508094645085,0,105,test
DDF,LR,0,0,0.5173697270471466,0,106,test
DDF,LR,0,0,0.5037313432835822,0,107,test
DDF,LR,0,0,0.506832298136646,0,108,test
DDF,LR,0,0,0.5131744040150567,0,109,test
DDF,LR,0,0,0.5098765432098764,0,110,test
DDF,LR,0,0,0.5149253731343285,0,111,test
DDF,LR,0,0,0.001242236024844745,0,104,test
DDF,LR,0,0,0.5031133250311333,0,112,test
DDF,LR,0,0,0.29716399506781754,0,114,test
DDF,LR,0,1,0.12493350169279173,0,0,train
DDF,LR,0,1,0.0,0,1,train
DDF,LR,0,1,0.1997533908754624,0,2,train
DDF,LR,0,1,0.12639405204460963,0,3,train
DDF,LR,0,1,0.006211180124223614,0,4,train
DDF,LR,0,1,0.0,0,5,train
DDF,LR,0,0,0.5031289111389236,0,113,test
DDF,LR,0,0,0.013681592039801016,0,103,test
DDF,LR,0,0,0.47583643122676583,0,102,train
DDF,LR,0,0,0.5037220843672455,0,101,train
DDF,LR,0,0,0.21544209215442084,0,84,train
DDF,LR,0,0,0.5118012422360247,0,85,train
DDF,LR,0,0,0.5342465753424658,0,86,train
DDF,LR,0,0,0.5093399750933998,0,87,train
DDF,LR,0,0,0.5372005044136192,0,88,train
DDF,LR,0,0,0.5043695380774031,0,89,train
DDF,LR,0,0,0.5124688279301747,0,90,train
DDF,LR,0,0,0.5037220843672455,0,91,train
DDF,LR,0,0,0.5043370508054522,0,92,train
DDF,LR,0,0,0.23980222496909773,0,93,train
DDF,LR,0,0,0.4275,0,94,train
DDF,LR,0,0,0.5049627791563275,0,95,train
DDF,LR,0,0,0.5049875311720701,0,96,train
DDF,LR,0,0,0.516209476309227,0,97,train
DDF,LR,0,0,0.5123762376237625,0,98,train
DDF,LR,0,0,0.5119196988707654,0,99,train
DDF,LR,0,0,0.5043586550435865,0,100,train
DDF,LR,0,1,0.16871921182266017,0,6,train
DDF,LR,0,0,0.008674101610904539,0,83,train
DDF,LR,0,1,0.32881773399014785,0,7,train
DDF,LR,0,1,0.08114856429463169,0,9,train
DDF,LR,0,1,0.6066997518610422,0,31,train
DDF,LR,0,1,0.6243781094527362,0,32,train
DDF,LR,0,1,0.5900621118012422,0,33,train
DDF,LR,0,1,0.746600741656366,0,34,train
DDF,LR,0,1,0.5551425030978934,0,35,train
DDF,LR,0,1,0.5427509293680297,0,36,train
DDF,LR,0,1,0.5267080745341615,0,37,train
DDF,LR,0,1,0.5180124223602485,0,30,train
DDF,LR,0,1,0.37484433374844334,0,38,train
DDF,LR,0,1,0.5012468827930173,0,40,train
DDF,LR,0,1,0.5031133250311333,0,41,train
DDF,LR,0,1,0.1935881627620222,0,42,train
DDF,LR,0,1,0.22126081582200258,0,43,train
DDF,LR,0,1,0.16666666666666663,0,44,train
DDF,LR,0,1,0.11581569115815694,0,45,train
DDF,LR,0,1,0.1283950617283951,0,46,train
DDF,LR,0,1,0.5037313432835822,0,39,train
DDF,LR,0,1,0.5515527950310559,0,29,train
DDF,LR,0,1,0.03860523038605233,0,28,train
DDF,LR,0,1,0.0,0,27,train
DDF,LR,0,1,0.27,0,10,train
DDF,LR,0,1,0.004968944099378869,0,11,train
DDF,LR,0,1,0.001242236024844745,0,12,train
DDF,LR,0,1,0.0,0,13,train
DDF,LR,0,1,0.002481389578163795,0,14,train
DDF,LR,0,1,0.001242236024844745,0,15,train
DDF,LR,0,1,0.0,0,16,train
