dataset,algorithm,platformId,runId,MemTotal,MemFree,node,time,phase
DGS,KM-tol-0.0001-maxIter-10,1,1,65451520,42749908,1,04/20/21 32 2021 23:32:16. 414,train
DGS,KM-tol-0.0001-maxIter-10,1,1,65451544,4719932,2,04/20/21 32 2021 23:32:13. 377,train
DGS,KM-tol-0.0001-maxIter-10,1,1,65451544,4615972,2,04/20/21 32 2021 23:32:14. 393,train
DGS,KM-tol-0.0001-maxIter-10,1,1,65451544,4436176,2,04/20/21 32 2021 23:32:15. 418,train
DGS,KM-tol-0.0001-maxIter-10,1,1,65451544,4423532,2,04/20/21 32 2021 23:32:16. 433,train
DGS,KM-tol-0.0001-maxIter-10,1,1,65451520,42749292,2,04/20/21 32 2021 23:32:13. 338,train
DGS,KM-tol-0.0001-maxIter-10,1,1,65451520,42748888,2,04/20/21 32 2021 23:32:14. 363,train
DGS,KM-tol-0.0001-maxIter-10,1,1,65451520,42749728,2,04/20/21 32 2021 23:32:15. 388,train
DGS,KM-tol-0.0001-maxIter-10,1,1,65451520,42749908,2,04/20/21 32 2021 23:32:16. 414,train
DGS,KM-tol-0.0001-maxIter-10,1,1,65451488,42763900,2,04/20/21 32 2021 23:32:13. 077,train
DGS,KM-tol-0.0001-maxIter-10,1,1,65451488,42764532,2,04/20/21 32 2021 23:32:14. 103,train
DGS,KM-tol-0.0001-maxIter-10,1,1,65451488,42764432,2,04/20/21 32 2021 23:32:15. 130,train
DGS,KM-tol-0.0001-maxIter-10,1,1,65451488,42764040,2,04/20/21 32 2021 23:32:16. 156,train
DGS,KM-tol-0.0001-maxIter-10,1,1,65451544,4719932,3,04/20/21 32 2021 23:32:13. 377,train
DGS,KM-tol-0.0001-maxIter-10,1,1,65451544,4615972,3,04/20/21 32 2021 23:32:14. 393,train
DGS,KM-tol-0.0001-maxIter-10,1,1,65451544,4436176,3,04/20/21 32 2021 23:32:15. 418,train
DGS,KM-tol-0.0001-maxIter-10,1,1,65451544,4423532,3,04/20/21 32 2021 23:32:16. 433,train
DGS,KM-tol-0.0001-maxIter-10,1,1,65451520,42749292,3,04/20/21 32 2021 23:32:13. 338,train
DGS,KM-tol-0.0001-maxIter-10,1,1,65451520,42748888,3,04/20/21 32 2021 23:32:14. 363,train
DGS,KM-tol-0.0001-maxIter-10,1,1,65451520,42749728,3,04/20/21 32 2021 23:32:15. 388,train
DGS,KM-tol-0.0001-maxIter-10,1,1,65451520,42749908,3,04/20/21 32 2021 23:32:16. 414,train
DGS,KM-tol-0.0001-maxIter-10,1,1,65451488,42763900,3,04/20/21 32 2021 23:32:13. 077,train
DGS,KM-tol-0.0001-maxIter-10,1,1,65451488,42764532,3,04/20/21 32 2021 23:32:14. 103,train
DGS,KM-tol-0.0001-maxIter-10,1,1,65451488,42764432,3,04/20/21 32 2021 23:32:15. 130,train
DGS,KM-tol-0.0001-maxIter-10,1,1,65451488,42764040,3,04/20/21 32 2021 23:32:16. 156,train
DGS,KM-tol-0.0001-maxIter-10,1,1,65451444,35742300,3,04/20/21 32 2021 23:32:13. 741,train
DGS,KM-tol-0.0001-maxIter-10,1,1,65451444,35517272,3,04/20/21 32 2021 23:32:14. 757,train
DGS,KM-tol-0.0001-maxIter-10,1,1,65451444,35501272,3,04/20/21 32 2021 23:32:15. 771,train
DGS,KM-tol-0.0001-maxIter-10,1,1,65451444,35473432,3,04/20/21 32 2021 23:32:16. 788,train
DGS,KM-tol-0.0001-maxIter-10,1,2,65451544,4523304,0,04/20/21 32 2021 23:32:35. 746,train
DGS,KM-tol-0.0001-maxIter-10,1,2,65451544,4342036,0,04/20/21 32 2021 23:32:36. 792,train
DGS,KM-tol-0.0001-maxIter-10,1,2,65451544,4298488,0,04/20/21 32 2021 23:32:37. 813,train
DGS,KM-tol-0.0001-maxIter-10,1,2,65451544,4288444,0,04/20/21 32 2021 23:32:38. 830,train
DGS,KM-tol-0.0001-maxIter-10,1,2,65451544,4523304,1,04/20/21 32 2021 23:32:35. 746,train
DGS,KM-tol-0.0001-maxIter-10,1,2,65451544,4342036,1,04/20/21 32 2021 23:32:36. 792,train
DGS,KM-tol-0.0001-maxIter-10,1,2,65451544,4298488,1,04/20/21 32 2021 23:32:37. 813,train
DGS,KM-tol-0.0001-maxIter-10,1,2,65451544,4288444,1,04/20/21 32 2021 23:32:38. 830,train
DGS,KM-tol-0.0001-maxIter-10,1,2,65451520,42749144,1,04/20/21 32 2021 23:32:35. 893,train
DGS,KM-tol-0.0001-maxIter-10,1,2,65451520,42749416,1,04/20/21 32 2021 23:32:36. 919,train
DGS,KM-tol-0.0001-maxIter-10,1,2,65451520,42749572,1,04/20/21 32 2021 23:32:37. 944,train
DGS,KM-tol-0.0001-maxIter-10,1,2,65451520,42749428,1,04/20/21 32 2021 23:32:38. 969,train
DGS,KM-tol-0.0001-maxIter-10,1,2,65451544,4523304,2,04/20/21 32 2021 23:32:35. 746,train
DGS,KM-tol-0.0001-maxIter-10,1,2,65451544,4342036,2,04/20/21 32 2021 23:32:36. 792,train
DGS,KM-tol-0.0001-maxIter-10,1,2,65451544,4298488,2,04/20/21 32 2021 23:32:37. 813,train
DGS,KM-tol-0.0001-maxIter-10,1,2,65451544,4288444,2,04/20/21 32 2021 23:32:38. 830,train
DGS,KM-tol-0.0001-maxIter-10,1,2,65451520,42749144,2,04/20/21 32 2021 23:32:35. 893,train
DGS,KM-tol-0.0001-maxIter-10,1,2,65451520,42749416,2,04/20/21 32 2021 23:32:36. 919,train
DGS,KM-tol-0.0001-maxIter-10,1,2,65451520,42749572,2,04/20/21 32 2021 23:32:37. 944,train
DGS,KM-tol-0.0001-maxIter-10,1,2,65451520,42749428,2,04/20/21 32 2021 23:32:38. 969,train
DGS,KM-tol-0.0001-maxIter-10,1,2,65451488,42763164,2,04/20/21 32 2021 23:32:35. 658,train
DGS,KM-tol-0.0001-maxIter-10,1,2,65451488,42763544,2,04/20/21 32 2021 23:32:36. 685,train
DGS,KM-tol-0.0001-maxIter-10,1,2,65451488,42764160,2,04/20/21 32 2021 23:32:37. 711,train
DGS,KM-tol-0.0001-maxIter-10,1,2,65451488,42764288,2,04/20/21 32 2021 23:32:38. 738,train
DGS,KM-tol-0.0001-maxIter-10,1,2,65451544,4523304,3,04/20/21 32 2021 23:32:35. 746,train
DGS,KM-tol-0.0001-maxIter-10,1,2,65451544,4342036,3,04/20/21 32 2021 23:32:36. 792,train
DGS,KM-tol-0.0001-maxIter-10,1,2,65451544,4298488,3,04/20/21 32 2021 23:32:37. 813,train
DGS,KM-tol-0.0001-maxIter-10,1,2,65451544,4288444,3,04/20/21 32 2021 23:32:38. 830,train
DGS,KM-tol-0.0001-maxIter-10,1,2,65451520,42749144,3,04/20/21 32 2021 23:32:35. 893,train
DGS,KM-tol-0.0001-maxIter-10,1,2,65451520,42749416,3,04/20/21 32 2021 23:32:36. 919,train
DGS,KM-tol-0.0001-maxIter-10,1,2,65451520,42749572,3,04/20/21 32 2021 23:32:37. 944,train
DGS,KM-tol-0.0001-maxIter-10,1,2,65451520,42749428,3,04/20/21 32 2021 23:32:38. 969,train
DGS,KM-tol-0.0001-maxIter-10,1,2,65451488,42763164,3,04/20/21 32 2021 23:32:35. 658,train
DGS,KM-tol-0.0001-maxIter-10,1,2,65451488,42763544,3,04/20/21 32 2021 23:32:36. 685,train
DGS,KM-tol-0.0001-maxIter-10,1,2,65451488,42764160,3,04/20/21 32 2021 23:32:37. 711,train
