dataset,algorithm,platformId,runId,NetIn,NetOut,node,time,phase
DGS,MLP-tol-0.0001-maxIter-10,1,1,198930986047393,356045739180646,1,04/21/21 38 2021 01:38:05. 865,train
DGS,MLP-tol-0.0001-maxIter-10,1,1,198930987224911,356045740456220,1,04/21/21 38 2021 01:38:06. 876,train
DGS,MLP-tol-0.0001-maxIter-10,1,1,198930988788825,356045742154905,1,04/21/21 38 2021 01:38:07. 889,train
DGS,MLP-tol-0.0001-maxIter-10,1,1,198930990191133,356045743545798,1,04/21/21 38 2021 01:38:08. 906,train
DGS,MLP-tol-0.0001-maxIter-10,1,1,2014059508327,82465694960,1,04/21/21 38 2021 01:38:05. 868,train
DGS,MLP-tol-0.0001-maxIter-10,1,1,2014059508568,82465697041,1,04/21/21 38 2021 01:38:06. 893,train
DGS,MLP-tol-0.0001-maxIter-10,1,1,2014059508663,82465697331,1,04/21/21 38 2021 01:38:07. 918,train
DGS,MLP-tol-0.0001-maxIter-10,1,1,2014059508758,82465697621,1,04/21/21 38 2021 01:38:08. 944,train
DGS,MLP-tol-0.0001-maxIter-10,1,1,198930986047393,356045739180646,2,04/21/21 38 2021 01:38:05. 865,train
DGS,MLP-tol-0.0001-maxIter-10,1,1,198930987224911,356045740456220,2,04/21/21 38 2021 01:38:06. 876,train
DGS,MLP-tol-0.0001-maxIter-10,1,1,198930988788825,356045742154905,2,04/21/21 38 2021 01:38:07. 889,train
DGS,MLP-tol-0.0001-maxIter-10,1,1,198930990191133,356045743545798,2,04/21/21 38 2021 01:38:08. 906,train
DGS,MLP-tol-0.0001-maxIter-10,1,1,2014059508327,82465694960,2,04/21/21 38 2021 01:38:05. 868,train
DGS,MLP-tol-0.0001-maxIter-10,1,1,2014059508568,82465697041,2,04/21/21 38 2021 01:38:06. 893,train
DGS,MLP-tol-0.0001-maxIter-10,1,1,2014059508663,82465697331,2,04/21/21 38 2021 01:38:07. 918,train
DGS,MLP-tol-0.0001-maxIter-10,1,1,2014059508758,82465697621,2,04/21/21 38 2021 01:38:08. 944,train
DGS,MLP-tol-0.0001-maxIter-10,1,1,2010403608933,86063805759,2,04/21/21 38 2021 01:38:05. 294,train
DGS,MLP-tol-0.0001-maxIter-10,1,1,2010403609120,86063806050,2,04/21/21 38 2021 01:38:06. 321,train
DGS,MLP-tol-0.0001-maxIter-10,1,1,2010403609267,86063807626,2,04/21/21 38 2021 01:38:07. 347,train
DGS,MLP-tol-0.0001-maxIter-10,1,1,2010403609456,86063808424,2,04/21/21 38 2021 01:38:08. 374,train
DGS,MLP-tol-0.0001-maxIter-10,1,1,198930986047393,356045739180646,3,04/21/21 38 2021 01:38:05. 865,train
DGS,MLP-tol-0.0001-maxIter-10,1,1,198930987224911,356045740456220,3,04/21/21 38 2021 01:38:06. 876,train
DGS,MLP-tol-0.0001-maxIter-10,1,1,198930988788825,356045742154905,3,04/21/21 38 2021 01:38:07. 889,train
DGS,MLP-tol-0.0001-maxIter-10,1,1,198930990191133,356045743545798,3,04/21/21 38 2021 01:38:08. 906,train
DGS,MLP-tol-0.0001-maxIter-10,1,1,2014059508327,82465694960,3,04/21/21 38 2021 01:38:05. 868,train
DGS,MLP-tol-0.0001-maxIter-10,1,1,2014059508568,82465697041,3,04/21/21 38 2021 01:38:06. 893,train
DGS,MLP-tol-0.0001-maxIter-10,1,1,2014059508663,82465697331,3,04/21/21 38 2021 01:38:07. 918,train
DGS,MLP-tol-0.0001-maxIter-10,1,1,2014059508758,82465697621,3,04/21/21 38 2021 01:38:08. 944,train
DGS,MLP-tol-0.0001-maxIter-10,1,1,2010403608933,86063805759,3,04/21/21 38 2021 01:38:05. 294,train
DGS,MLP-tol-0.0001-maxIter-10,1,1,2010403609120,86063806050,3,04/21/21 38 2021 01:38:06. 321,train
DGS,MLP-tol-0.0001-maxIter-10,1,1,2010403609267,86063807626,3,04/21/21 38 2021 01:38:07. 347,train
DGS,MLP-tol-0.0001-maxIter-10,1,1,2010403609456,86063808424,3,04/21/21 38 2021 01:38:08. 374,train
DGS,MLP-tol-0.0001-maxIter-10,1,1,2104372369179,95186872363,3,04/21/21 38 2021 01:38:05. 955,train
DGS,MLP-tol-0.0001-maxIter-10,1,1,2104372834295,95187231997,3,04/21/21 38 2021 01:38:06. 967,train
DGS,MLP-tol-0.0001-maxIter-10,1,1,2104373496810,95187826026,3,04/21/21 38 2021 01:38:07. 984,train
DGS,MLP-tol-0.0001-maxIter-10,1,2,198931215266030,356046136691017,0,04/21/21 38 2021 01:38:32. 277,train
DGS,MLP-tol-0.0001-maxIter-10,1,2,198931216484694,356046146303280,0,04/21/21 38 2021 01:38:33. 296,train
DGS,MLP-tol-0.0001-maxIter-10,1,2,198931217665409,356046147584770,0,04/21/21 38 2021 01:38:34. 308,train
DGS,MLP-tol-0.0001-maxIter-10,1,2,198931219228651,356046149283586,0,04/21/21 38 2021 01:38:35. 321,train
DGS,MLP-tol-0.0001-maxIter-10,1,2,198931215266030,356046136691017,1,04/21/21 38 2021 01:38:32. 277,train
DGS,MLP-tol-0.0001-maxIter-10,1,2,198931216484694,356046146303280,1,04/21/21 38 2021 01:38:33. 296,train
DGS,MLP-tol-0.0001-maxIter-10,1,2,198931217665409,356046147584770,1,04/21/21 38 2021 01:38:34. 308,train
DGS,MLP-tol-0.0001-maxIter-10,1,2,198931219228651,356046149283586,1,04/21/21 38 2021 01:38:35. 321,train
DGS,MLP-tol-0.0001-maxIter-10,1,2,2014059512132,82465710018,1,04/21/21 38 2021 01:38:32. 523,train
DGS,MLP-tol-0.0001-maxIter-10,1,2,2014059512586,82465710814,1,04/21/21 38 2021 01:38:33. 549,train
DGS,MLP-tol-0.0001-maxIter-10,1,2,2014059512681,82465711104,1,04/21/21 38 2021 01:38:34. 574,train
DGS,MLP-tol-0.0001-maxIter-10,1,2,2014059512776,82465711394,1,04/21/21 38 2021 01:38:35. 599,train
DGS,MLP-tol-0.0001-maxIter-10,1,2,198931215266030,356046136691017,2,04/21/21 38 2021 01:38:32. 277,train
DGS,MLP-tol-0.0001-maxIter-10,1,2,198931216484694,356046146303280,2,04/21/21 38 2021 01:38:33. 296,train
DGS,MLP-tol-0.0001-maxIter-10,1,2,198931217665409,356046147584770,2,04/21/21 38 2021 01:38:34. 308,train
DGS,MLP-tol-0.0001-maxIter-10,1,2,198931219228651,356046149283586,2,04/21/21 38 2021 01:38:35. 321,train
DGS,MLP-tol-0.0001-maxIter-10,1,2,2014059512132,82465710018,2,04/21/21 38 2021 01:38:32. 523,train
DGS,MLP-tol-0.0001-maxIter-10,1,2,2014059512586,82465710814,2,04/21/21 38 2021 01:38:33. 549,train
DGS,MLP-tol-0.0001-maxIter-10,1,2,2014059512681,82465711104,2,04/21/21 38 2021 01:38:34. 574,train
DGS,MLP-tol-0.0001-maxIter-10,1,2,2014059512776,82465711394,2,04/21/21 38 2021 01:38:35. 599,train
DGS,MLP-tol-0.0001-maxIter-10,1,2,2010403613095,86063820853,2,04/21/21 38 2021 01:38:33. 010,train
DGS,MLP-tol-0.0001-maxIter-10,1,2,2010403613190,86063821144,2,04/21/21 38 2021 01:38:34. 036,train
DGS,MLP-tol-0.0001-maxIter-10,1,2,2010403613379,86063821942,2,04/21/21 38 2021 01:38:35. 063,train
DGS,MLP-tol-0.0001-maxIter-10,1,2,198931215266030,356046136691017,3,04/21/21 38 2021 01:38:32. 277,train
DGS,MLP-tol-0.0001-maxIter-10,1,2,198931216484694,356046146303280,3,04/21/21 38 2021 01:38:33. 296,train
DGS,MLP-tol-0.0001-maxIter-10,1,2,198931217665409,356046147584770,3,04/21/21 38 2021 01:38:34. 308,train
