dataset,algorithm,platformId,runId,memoryUsage,MemTotal,MemFree,node,timeIndex,phase
DGS,LR,1,2,0.2581314930067684,65451572,48556460,0,1,train
DGS,LR,1,2,0.258125137162481,65451572,48556876,0,0,train
DGS,LR,1,2,0.2653277056382352,65451544,48085436,1,3,test
DGS,LR,1,2,0.26532709449909997,65451544,48085476,1,2,train
DGS,LR,1,1,0.2780794903784088,65451544,47250812,2,3,test
DGS,LR,1,2,0.2653299057391221,65451544,48085292,1,0,train
DGS,LR,1,1,0.265325811106916,65451544,48085560,1,3,test
DGS,LR,1,2,0.2581200647098285,65451572,48557208,0,2,train
DGS,LR,1,1,0.2653273389547541,65451544,48085460,1,1,train
DGS,LR,1,1,0.26532336655037503,65451544,48085720,1,0,train
DGS,LR,1,0,0.26532519996778076,65451544,48085600,1,3,train
DGS,LR,1,1,0.2653211053355747,65451544,48085868,1,2,train
DGS,LR,1,0,0.26532929459998683,65451544,48085332,1,0,train
DGS,LR,1,0,0.26532709449909997,65451544,48085476,1,1,train
DGS,LR,1,0,0.26532037196861236,65451544,48085916,1,2,train
DGS,LR,2,1,0.8987037494485998,65451544,6629996,3,1,train
DGS,LR,2,1,0.9018689001438989,65451544,6422832,3,2,train
DGS,LR,2,1,0.9059094465365095,65451544,6158372,3,3,train
DGS,LR,2,2,0.8945772157796613,65451544,6900084,3,0,train
DGS,LR,2,2,0.8987547184524783,65451544,6626660,3,1,train
DGS,LR,2,2,0.9019349642844178,65451544,6418508,3,2,train
DGS,LR,2,2,0.9046262988081687,65451544,6242356,3,3,test
DGS,LR,2,0,0.9017160542461764,65451544,6432836,3,2,train
DGS,LR,2,0,0.8981539075686282,65451544,6665984,3,1,train
DGS,LR,2,0,0.8945577204412474,65451544,6901360,3,0,train
DGS,LR,2,1,0.8945690265152492,65451544,6900620,3,0,train
DGS,LR,2,0,0.2580915245244224,65451572,48559076,0,3,test
DGS,LR,2,2,0.2580924412327331,65451572,48559016,0,3,test
DGS,LR,2,2,0.2580954358132147,65451572,48558820,0,2,train
DGS,LR,2,2,0.2581121199044692,65451572,48557728,0,1,train
DGS,LR,2,2,0.25810674188237986,65451572,48558080,0,0,train
DGS,LR,2,1,0.2580762460525776,65451572,48560076,0,3,train
DGS,LR,2,1,0.25807178473879894,65451572,48560368,0,2,train
DGS,LR,2,1,0.2580716625110242,65451572,48560376,0,1,train
DGS,LR,2,0,0.2580857187051214,65451572,48559456,0,0,train
DGS,LR,2,0,0.25808174630244174,65451572,48559716,0,1,train
DGS,LR,2,0,0.2580822352135408,65451572,48559684,0,2,train
DGS,LR,2,2,0.2704747194351901,65451544,47748556,1,3,test
DGS,LR,2,1,0.2580736792693077,65451572,48560244,0,0,train
DGS,LR,2,0,0.9044809088078961,65451544,6251872,3,3,test
DGS,LR,2,1,0.27016493300753913,65451544,47768832,1,3,train
DGS,LR,2,2,0.27690335311264774,65451544,47327792,2,2,train
DGS,LR,2,0,0.26456494288354754,65451544,48135360,1,1,train
DGS,LR,2,0,0.2686906209576966,65451544,47865328,1,2,train
DGS,LR,2,2,0.27177290118625774,65451544,47663588,2,1,train
DGS,LR,2,0,0.270012820476779,65451544,47778788,1,3,test
DGS,LR,2,1,0.26481722111857287,65451544,48118848,1,0,train
DGS,LR,2,1,0.2648170988907458,65451544,48118856,1,1,train
DGS,LR,2,1,0.26945827282546614,65451544,47815084,1,2,train
DGS,LR,2,2,0.26507316618840954,65451544,48102096,1,0,train
DGS,LR,2,2,0.26506882710054935,65451544,48102380,1,1,train
DGS,LR,2,2,0.277618447014787,65451544,47280988,2,3,test
DGS,LR,2,0,0.2645617038461308,65451544,48135572,1,0,train
DGS,LR,2,1,0.27731746099068344,65451544,47300688,2,3,train
DGS,LR,2,1,0.27633034905945075,65451544,47365296,2,2,train
DGS,LR,2,1,0.27151854507817264,65451544,47680236,2,1,train
DGS,LR,2,1,0.27152471758343855,65451544,47679832,2,0,train
DGS,LR,2,0,0.27703425911541524,65451544,47319224,2,3,test
DGS,LR,2,0,0.2756115883225001,65451544,47412340,2,2,train
DGS,LR,2,0,0.2712715226397104,65451544,47696404,2,1,train
DGS,LR,2,0,0.2712692003109965,65451544,47696556,2,0,train
