dataset,algorithm,platformId,runId,Energy,phase,acronym,hp1,val1,hp2,val2
DDF,DT-maxDepth-10-maxBins-32,6,0,899.195,test,DT,maxDepth,10.0,maxBins,32
DDF,DT-maxDepth-10-maxBins-32,6,1,718.75,test,DT,maxDepth,10.0,maxBins,32
DDF,DT-maxDepth-10-maxBins-32,6,2,1026.16,test,DT,maxDepth,10.0,maxBins,32
DDF,DT-maxDepth-10-maxBins-32,7,0,1105.105,test,DT,maxDepth,10.0,maxBins,32
DDF,DT-maxDepth-10-maxBins-32,7,1,1120.69,test,DT,maxDepth,10.0,maxBins,32
DDF,DT-maxDepth-10-maxBins-32,7,2,1122.15,test,DT,maxDepth,10.0,maxBins,32
DDF,DT-maxDepth-10-maxBins-32,8,0,1410.15,test,DT,maxDepth,10.0,maxBins,32
DDF,DT-maxDepth-10-maxBins-32,8,1,1612.26,test,DT,maxDepth,10.0,maxBins,32
DDF,DT-maxDepth-10-maxBins-32,8,2,1628.04,test,DT,maxDepth,10.0,maxBins,32
DDF,DT-maxDepth-10-maxBins-32,9,0,841.9699999999998,test,DT,maxDepth,10.0,maxBins,32
DDF,DT-maxDepth-10-maxBins-32,9,1,946.985,test,DT,maxDepth,10.0,maxBins,32
DDF,DT-maxDepth-10-maxBins-32,9,2,930.11,test,DT,maxDepth,10.0,maxBins,32
DDF,DT-maxDepth-10-maxBins-32,10,0,1586.63,test,DT,maxDepth,10.0,maxBins,32
DDF,DT-maxDepth-10-maxBins-32,10,1,1687.44,test,DT,maxDepth,10.0,maxBins,32
DDF,DT-maxDepth-10-maxBins-32,10,2,1688.97,test,DT,maxDepth,10.0,maxBins,32
DDF,DT-maxDepth-10-maxBins-32,11,0,2053.84,test,DT,maxDepth,10.0,maxBins,32
DDF,DT-maxDepth-10-maxBins-32,11,1,1866.85,test,DT,maxDepth,10.0,maxBins,32
DDF,DT-maxDepth-10-maxBins-32,11,2,2176.07,test,DT,maxDepth,10.0,maxBins,32
DDF,DT-maxDepth-10-maxBins-32,12,0,1730.935,test,DT,maxDepth,10.0,maxBins,32
DDF,DT-maxDepth-10-maxBins-32,12,1,1969.145,test,DT,maxDepth,10.0,maxBins,32
