dataset,algorithm,platformId,runId,NetIn,NetOut,node,timeIndex,phase
DGS,RFR-maxDepth-10,0,0,105454,15656893,3,7,test
DGS,RFR-numTrees-150,0,0,15959496,10934135,1,16,train
DGS,RFR-numTrees-150,0,1,0,0,1,0,train
DGS,RFR-numTrees-150,0,1,3373999,28940,2,9,train
DGS,RFR-numTrees-150,0,1,9559130,50819,2,8,train
DGS,RFR-numTrees-150,0,1,1575412,15494,2,7,train
DGS,RFR-numTrees-150,0,1,16388714,109343,2,6,train
DGS,RFR-numTrees-150,0,1,108555,5315,2,5,train
DGS,RFR-numTrees-150,0,1,93,288,2,4,train
DGS,RFR-numTrees-150,0,1,2489,5427,2,3,train
DGS,RFR-numTrees-150,0,1,6050,6320,2,2,train
DGS,RFR-numTrees-150,0,1,6161956,21934,2,10,train
DGS,RFR-numTrees-150,0,1,93,288,2,1,train
DGS,RFR-numTrees-150,0,0,23573972,10529649,2,17,train
DGS,RFR-numTrees-150,0,0,9251106,10141037,2,16,train
DGS,RFR-numTrees-150,0,0,14600913,10640303,2,15,train
DGS,RFR-numTrees-150,0,0,7817113,4602823,2,14,train
DGS,RFR-numTrees-150,0,0,6279867,72048,2,13,train
DGS,RFR-numTrees-150,0,0,10250260,1928788,2,12,train
DGS,RFR-numTrees-150,0,0,5432611,18133,2,11,train
DGS,RFR-numTrees-150,0,0,5684445,40512,2,10,train
DGS,RFR-numTrees-150,0,1,0,0,2,0,train
DGS,RFR-numTrees-150,0,0,61008,15273,2,9,train
DGS,RFR-numTrees-150,0,1,5053145,19223,2,11,train
DGS,RFR-numTrees-150,0,1,8407445,2576452,2,13,train
DGS,RFR-numTrees-150,0,2,8302193,2383792,2,13,train
DGS,RFR-numTrees-150,0,2,11171316,2295274,2,12,train
DGS,RFR-numTrees-150,0,2,5464627,25973,2,11,train
DGS,RFR-numTrees-150,0,2,5790430,50179,2,10,train
DGS,RFR-numTrees-150,0,2,52009,13021,2,9,train
DGS,RFR-numTrees-150,0,2,5033190,56625,2,8,train
DGS,RFR-numTrees-150,0,2,5796686,42710,2,7,train
DGS,RFR-numTrees-150,0,2,4579006,30077,2,6,train
DGS,RFR-numTrees-150,0,1,7104166,2523191,2,12,train
DGS,RFR-numTrees-150,0,2,11359678,85371,2,5,train
DGS,RFR-numTrees-150,0,2,3055,6335,2,3,train
DGS,RFR-numTrees-150,0,2,4960,3621,2,2,train
DGS,RFR-numTrees-150,0,2,186,794,2,1,train
DGS,RFR-numTrees-150,0,2,0,0,2,0,train
DGS,RFR-numTrees-150,0,1,12260305,13776922,2,17,train
DGS,RFR-numTrees-150,0,1,9154055,10854628,2,16,train
DGS,RFR-numTrees-150,0,1,14102776,12194463,2,15,train
DGS,RFR-numTrees-150,0,1,5483427,2682066,2,14,train
DGS,RFR-numTrees-150,0,2,5226167,41622,2,4,train
DGS,RFR-numTrees-150,0,0,13687079,53774,2,8,train
DGS,RFR-numTrees-150,0,0,425578,31290,2,7,train
DGS,RFR-numTrees-150,0,0,16479584,108806,2,6,train
DGS,RFR-numTrees-150,0,2,0,0,1,0,train
DGS,RFR-numTrees-150,0,1,11220263,18914176,1,17,train
DGS,RFR-numTrees-150,0,1,8218472,14144967,1,16,train
DGS,RFR-numTrees-150,0,1,9830831,17184115,1,15,train
DGS,RFR-numTrees-150,0,1,2607701,4929929,1,14,train
DGS,RFR-numTrees-150,0,1,8237691,3650703,1,13,train
DGS,RFR-numTrees-150,0,1,10776567,2284787,1,12,train
DGS,RFR-numTrees-150,0,1,6133974,19942,1,11,train
DGS,RFR-numTrees-150,0,2,186,794,1,1,train
DGS,RFR-numTrees-150,0,1,5014358,49200,1,10,train
DGS,RFR-numTrees-150,0,1,13871694,49067,1,8,train
DGS,RFR-numTrees-150,0,1,280703,5184,1,7,train
DGS,RFR-numTrees-150,0,1,16271782,113711,1,6,train
DGS,RFR-numTrees-150,0,1,224551,6511,1,5,train
DGS,RFR-numTrees-150,0,1,93,288,1,4,train
DGS,RFR-numTrees-150,0,1,2437,5427,1,3,train
DGS,RFR-numTrees-150,0,1,6050,6320,1,2,train
DGS,RFR-numTrees-150,0,1,93,288,1,1,train
DGS,RFR-numTrees-150,0,1,1855812,27974,1,9,train
DGS,RFR-numTrees-150,0,2,4960,3673,1,2,train
DGS,RFR-numTrees-150,0,2,3003,6335,1,3,train
DGS,RFR-numTrees-150,0,2,290,2079,1,4,train
DGS,RFR-numTrees-150,0,0,18049,600,2,5,train
DGS,RFR-numTrees-150,0,0,93,288,2,4,train
DGS,RFR-numTrees-150,0,0,3148,6841,2,3,train
DGS,RFR-numTrees-150,0,0,4960,3621,2,2,train
DGS,RFR-numTrees-150,0,0,93,288,2,1,train
DGS,RFR-numTrees-150,0,0,0,0,2,0,train
DGS,RFR-numTrees-150,0,2,13254448,12080558,1,17,test
DGS,RFR-numTrees-150,0,2,9814277,9182942,1,16,train
DGS,RFR-numTrees-150,0,2,7641107,6645803,1,15,train
DGS,RFR-numTrees-150,0,2,10850184,7302433,1,14,train
DGS,RFR-numTrees-150,0,2,6640080,1393316,1,13,train
DGS,RFR-numTrees-150,0,2,7122901,2529452,1,12,train
DGS,RFR-numTrees-150,0,2,10827643,85458,1,11,train
DGS,RFR-numTrees-150,0,2,5012701,24394,1,10,train
DGS,RFR-numTrees-150,0,2,51937,12964,1,9,train
DGS,RFR-numTrees-150,0,2,17606256,83642,1,8,train
DGS,RFR-numTrees-150,0,2,399894,31686,1,7,train
DGS,RFR-numTrees-150,0,2,16506510,123978,1,6,train
DGS,RFR-numTrees-150,0,2,93,288,1,5,train
DGS,RFR-numTrees-150,0,0,11468412,18449460,1,17,train
DGS,RFR-numTrees-150,0,2,7021862,9212305,2,14,train
DGS,RFR-maxDepth-10,0,0,16599661,43529438,3,6,train
DGS,RFR-maxDepth-10,0,0,1764,767,3,4,train
DGS,RFR-maxDepth-5,0,2,189,797,1,1,train
DGS,RFR-maxDepth-5,0,2,0,0,1,0,train
DGS,RFR-maxDepth-5,0,1,95,290,1,4,train
DGS,RFR-maxDepth-5,0,1,5273,9129,1,3,train
DGS,RFR-maxDepth-5,0,1,2645,2523,1,2,train
DGS,RFR-maxDepth-5,0,1,95,290,1,1,train
DGS,RFR-maxDepth-5,0,1,0,0,1,0,train
DGS,RFR-maxDepth-5,0,0,189,797,1,5,test
DGS,RFR-maxDepth-5,0,2,4825,3606,1,2,train
DGS,RFR-maxDepth-5,0,0,95,290,1,4,train
DGS,RFR-maxDepth-5,0,0,2934,3130,1,2,train
DGS,RFR-maxDepth-5,0,0,147,1575,1,1,train
DGS,RFR-maxDepth-5,0,0,0,0,1,0,train
DGS,RFR-maxDepth-5,0,2,189,795,0,4,train
DGS,RFR-maxDepth-5,0,2,3057,6336,0,3,train
DGS,RFR-maxDepth-5,0,2,4917,4110,0,2,train
DGS,RFR-maxDepth-5,0,2,95,289,0,1,train
DGS,RFR-maxDepth-5,0,2,0,0,0,0,train
DGS,RFR-maxDepth-5,0,0,5127,7337,1,3,train
DGS,RFR-maxDepth-5,0,1,95,289,0,4,train
DGS,RFR-maxDepth-5,0,2,3005,6337,1,3,train
DGS,RFR-maxDepth-5,0,0,0,0,2,0,train
DGS,RFR-maxDepth-5,0,0,27263,23816,3,2,train
DGS,RFR-maxDepth-5,0,0,15100,14789,3,1,train
DGS,RFR-maxDepth-5,0,0,0,0,3,0,train
DGS,RFR-maxDepth-5,0,2,241,2082,2,4,train
DGS,RFR-maxDepth-5,0,2,5067,7225,2,3,train
DGS,RFR-maxDepth-5,0,2,2815,2718,2,2,train
DGS,RFR-maxDepth-5,0,2,189,797,2,1,train
DGS,RFR-maxDepth-5,0,2,0,0,2,0,train
DGS,RFR-maxDepth-5,0,2,241,2082,1,4,train
DGS,RFR-maxDepth-5,0,1,95,290,2,4,train
DGS,RFR-maxDepth-5,0,1,2645,2523,2,2,train
DGS,RFR-maxDepth-5,0,1,95,290,2,1,train
DGS,RFR-maxDepth-5,0,1,0,0,2,0,train
DGS,RFR-maxDepth-5,0,0,95,290,2,5,test
DGS,RFR-maxDepth-5,0,0,189,797,2,4,train
DGS,RFR-maxDepth-5,0,0,3109,6441,2,3,train
DGS,RFR-maxDepth-5,0,0,4858,3571,2,2,train
DGS,RFR-maxDepth-5,0,0,241,2082,2,1,train
DGS,RFR-maxDepth-5,0,1,5273,9129,2,3,train
DGS,RFR-maxDepth-5,0,1,3099,6842,0,3,train
DGS,RFR-maxDepth-5,0,1,4714,3521,0,2,train
DGS,RFR-maxDepth-5,0,1,95,289,0,1,train
DGS,RFR-numTrees-100,0,1,971649,13406334,3,11,train
DGS,RFR-numTrees-100,0,1,4181744,12492565,3,10,train
DGS,RFR-numTrees-100,0,1,11167119,26766815,3,9,train
DGS,RFR-numTrees-100,0,1,13066455,35775933,3,8,train
DGS,RFR-numTrees-100,0,1,88843,12214718,3,7,train
DGS,RFR-numTrees-100,0,1,16638822,47116026,3,6,train
