dataset,algorithm,platformId,runId,NetIn,NetOut,node,timeIndex,phase
DDF,DT-maxBins-16,0,1,189,797,1,50,test
DDF,DT-maxBins-16,0,1,95,290,1,52,test
DDF,DT-maxBins-16,0,0,5627,7767,2,3,train
DDF,DT-maxBins-16,0,0,2434,2752,2,2,train
DDF,DT-maxBins-16,0,0,95,290,2,1,train
DDF,DT-maxBins-16,0,0,0,0,2,0,train
DDF,DT-maxBins-16,0,2,4812090,3906060,1,55,test
DDF,DT-maxBins-16,0,2,3712495,1082170,1,54,test
DDF,DT-maxBins-16,0,2,17526708,61652,1,53,test
DDF,DT-maxBins-16,0,2,499,10803,1,52,test
DDF,DT-maxBins-16,0,2,147,1576,1,51,test
DDF,DT-maxBins-16,0,0,95,290,2,4,train
DDF,DT-maxBins-16,0,2,95,291,1,50,test
DDF,DT-maxBins-16,0,2,141,291,1,48,test
DDF,DT-maxBins-16,0,2,2488395,27701,1,47,test
DDF,DT-maxBins-16,0,2,7974595,6402610,1,46,test
DDF,DT-maxBins-16,0,2,18246281,59637,1,45,train
DDF,DT-maxBins-16,0,2,95,291,1,44,train
DDF,DT-maxBins-16,0,2,395,850,1,43,train
DDF,DT-maxBins-16,0,2,199,10192,1,42,train
DDF,DT-maxBins-16,0,2,95,291,1,41,train
DDF,DT-maxBins-16,0,2,189,798,1,40,train
DDF,DT-maxBins-16,0,2,189,798,1,49,test
DDF,DT-maxBins-16,0,2,95,291,1,39,train
DDF,DT-maxBins-16,0,0,189,797,2,5,train
DDF,DT-maxBins-16,0,0,26151,2217,2,7,train
DDF,DT-maxBins-16,0,0,95,290,2,27,train
DDF,DT-maxBins-16,0,0,581278,14166,2,26,train
DDF,DT-maxBins-16,0,0,95,290,2,25,train
DDF,DT-maxBins-16,0,0,405,2088,2,24,train
DDF,DT-maxBins-16,0,0,189,797,2,23,train
DDF,DT-maxBins-16,0,0,95,290,2,22,train
DDF,DT-maxBins-16,0,0,95,290,2,21,train
DDF,DT-maxBins-16,0,0,241,901,2,20,train
DDF,DT-maxBins-16,0,0,95,290,2,19,train
DDF,DT-maxBins-16,0,0,16544913,115941,2,6,train
DDF,DT-maxBins-16,0,0,95,290,2,18,train
DDF,DT-maxBins-16,0,0,95,290,2,16,train
DDF,DT-maxBins-16,0,0,95,290,2,15,train
DDF,DT-maxBins-16,0,0,499,2595,2,14,train
DDF,DT-maxBins-16,0,0,95,290,2,13,train
DDF,DT-maxBins-16,0,0,95,290,2,12,train
DDF,DT-maxBins-16,0,0,42197,25689,2,11,train
DDF,DT-maxBins-16,0,0,20859546,162351,2,10,train
DDF,DT-maxBins-16,0,0,10905168,156079,2,9,train
DDF,DT-maxBins-16,0,0,25518968,177437,2,8,train
DDF,DT-maxBins-16,0,0,189,797,2,17,train
DDF,DT-maxBins-16,0,1,95,290,1,51,test
DDF,DT-maxBins-16,0,2,12195143,57375,1,38,train
DDF,DT-maxBins-16,0,2,147,1576,1,36,train
DDF,DT-maxBins-16,0,2,9091,18562,1,11,train
DDF,DT-maxBins-16,0,2,20492206,367066,1,10,train
DDF,DT-maxBins-16,0,2,2575,2775,1,9,train
DDF,DT-maxBins-16,0,2,189,798,1,8,train
DDF,DT-maxBins-16,0,2,36769890,265462,1,7,train
DDF,DT-maxBins-16,0,2,215321,79135,1,6,train
DDF,DT-maxBins-16,0,2,16511451,125323,1,5,train
DDF,DT-maxBins-16,0,2,141,291,1,4,train
DDF,DT-maxBins-16,0,2,5627,7768,1,3,train
DDF,DT-maxBins-16,0,2,95,291,1,12,train
DDF,DT-maxBins-16,0,2,2486,4038,1,2,train
DDF,DT-maxBins-16,0,2,0,0,1,0,train
DDF,DT-maxBins-16,0,1,7824811,2243225,1,60,test
DDF,DT-maxBins-16,0,1,4964911,4013367,1,59,test
DDF,DT-maxBins-16,0,1,7953331,1184116,1,58,test
DDF,DT-maxBins-16,0,1,27716317,1147457,1,57,test
DDF,DT-maxBins-16,0,1,189,797,1,56,test
DDF,DT-maxBins-16,0,1,95,290,1,55,test
DDF,DT-maxBins-16,0,1,95,290,1,54,test
DDF,DT-maxBins-16,0,1,189,797,1,53,test
DDF,DT-maxBins-16,0,2,95,291,1,1,train
DDF,DT-maxBins-16,0,2,9701004,53089,1,37,train
DDF,DT-maxBins-16,0,2,95,291,1,13,train
DDF,DT-maxBins-16,0,2,95,291,1,15,train
DDF,DT-maxBins-16,0,2,95,291,1,35,train
DDF,DT-maxBins-16,0,2,189,798,1,34,train
DDF,DT-maxBins-16,0,2,353,10244,1,33,train
DDF,DT-maxBins-16,0,2,147,1576,1,32,train
DDF,DT-maxBins-16,0,2,189,798,1,31,train
DDF,DT-maxBins-16,0,2,95,291,1,30,train
DDF,DT-maxBins-16,0,2,95,291,1,29,train
DDF,DT-maxBins-16,0,2,189,798,1,28,train
DDF,DT-maxBins-16,0,2,581156,13658,1,27,train
DDF,DT-maxBins-16,0,2,189,798,1,14,train
DDF,DT-maxBins-16,0,2,95,291,1,26,train
DDF,DT-maxBins-16,0,2,95,291,1,24,train
DDF,DT-maxBins-16,0,2,448,1095,1,23,train
DDF,DT-maxBins-16,0,2,241,2083,1,22,train
DDF,DT-maxBins-16,0,2,95,291,1,21,train
DDF,DT-maxBins-16,0,2,147,395,1,20,train
DDF,DT-maxBins-16,0,2,189,798,1,19,train
DDF,DT-maxBins-16,0,2,95,291,1,18,train
DDF,DT-maxBins-16,0,2,147,1576,1,17,train
DDF,DT-maxBins-16,0,2,454,798,1,16,train
DDF,DT-maxBins-16,0,2,189,798,1,25,train
DDF,DT-maxBins-16,0,0,189,797,1,15,train
DDF,DT-maxBins-16,0,0,147,1575,1,14,train
