dataset,algorithm,platformId,runId,memoryUsage,MemTotal,MemFree,node,timeIndex,phase
DGS,RFR,0,1,0.897177246116608,65451544,6729908,2,5,train
DGS,RFR,0,1,0.9007669365068879,65451572,6494960,0,4,train
DGS,RFR,0,1,0.9007600917515014,65451572,6495408,0,5,train
DGS,RFR,0,1,0.9041904753639837,65451572,6270884,0,6,train
DGS,RFR,0,2,0.8960889739974466,65451572,6801140,0,0,train
DGS,RFR,0,2,0.8960755900561105,65451572,6802016,0,1,train
DGS,RFR,0,2,0.8991180227115095,65451572,6602884,0,2,train
DGS,RFR,0,2,0.9011552541472954,65451572,6469544,0,3,train
DGS,RFR,0,2,0.9011506706057419,65451572,6469844,0,4,train
DGS,RFR,0,2,0.9047384224782256,65451572,6235020,0,5,train
DGS,RFR,0,2,0.8989873180073491,65451544,6611436,2,6,train
DGS,RFR,0,2,0.8975114169957549,65451544,6708036,2,5,train
DGS,RFR,0,2,0.8975130059575065,65451544,6707932,2,4,train
DGS,RFR,0,2,0.8975082390722516,65451544,6708244,2,3,train
DGS,RFR,0,2,0.895558949686504,65451544,6835828,2,2,train
DGS,RFR,0,2,0.891713417791947,65451544,7087524,2,1,train
DGS,RFR,0,2,0.8917223404233214,65451544,7086940,2,0,train
DGS,RFR,0,1,0.9006887293598452,65451544,6500076,2,6,train
DGS,RFR,0,1,0.8972002249480929,65451544,6728404,2,4,train
DGS,RFR,0,1,0.8972213092482585,65451544,6727024,2,3,train
DGS,RFR,0,1,0.8952634639146175,65451544,6855168,2,2,train
DGS,RFR,0,1,0.8914528280646825,65451544,7104580,2,1,train
DGS,RFR,0,1,0.8914663342395712,65451544,7103696,2,0,train
DGS,RFR,0,0,0.8985157630506012,65451544,6642300,2,6,train
DGS,RFR,0,0,0.8969423853469369,65451544,6745280,2,5,train
DGS,RFR,0,0,0.8969588249896748,65451544,6744204,2,4,train
DGS,RFR,0,0,0.8969675642793087,65451544,6743632,2,3,train
DGS,RFR,0,0,0.895105239992505,65451544,6865524,2,2,train
DGS,RFR,0,1,0.9007877152285968,65451572,6493600,0,3,train
DGS,RFR,0,1,0.8992116491869745,65451572,6596756,0,2,train
DGS,RFR,0,1,0.8958182394763566,65451572,6818860,0,1,train
DGS,RFR,0,1,0.8958087668238128,65451572,6819480,0,0,train
DGS,RFR,0,2,0.9548496518279233,65451544,2955160,3,6,train
DGS,RFR,0,2,0.9526298111470067,65451544,3100452,3,5,train
DGS,RFR,0,2,0.9516167258025265,65451544,3166760,3,4,train
DGS,RFR,0,2,0.9504487778011776,65451544,3243204,3,3,train
DGS,RFR,0,2,0.9417783024339349,65451544,3810700,3,2,train
DGS,RFR,0,2,0.9373948458725435,65451544,4097604,3,1,train
DGS,RFR,0,2,0.9331976645195719,65451544,4372316,3,0,train
DGS,RFR,0,1,0.9569611375401625,65451544,2816960,3,6,train
DGS,RFR,0,1,0.9559451187278332,65451544,2883460,3,5,train
DGS,RFR,0,1,0.9515559785724841,65451544,3170736,3,4,train
DGS,RFR,0,1,0.9507666923793272,65451544,3222396,3,3,train
DGS,RFR,0,1,0.9416261287892612,65451544,3820660,3,2,train
DGS,RFR,0,1,0.937177096998659,65451544,4111856,3,1,train
DGS,RFR,0,0,0.8912161338776057,65451544,7120072,2,1,train
DGS,RFR,0,1,0.9329711763560535,65451544,4387140,3,0,train
DGS,RFR,0,0,0.9523121410245112,65451544,3121244,3,5,train
DGS,RFR,0,0,0.9513172065123475,65451544,3186364,3,4,train
DGS,RFR,0,0,0.9503123104322795,65451544,3252136,3,3,train
DGS,RFR,0,0,0.9413730560733602,65451544,3837224,3,2,train
DGS,RFR,0,0,0.936902328843457,65451544,4129840,3,1,train
DGS,RFR,0,0,0.9327171869314497,65451544,4403764,3,0,train
DGS,RFR,0,0,0.8955424325026143,65451572,6836912,0,0,train
DGS,RFR,0,0,0.8955402324026687,65451572,6837056,0,1,train
DGS,RFR,0,0,0.898727932768368,65451572,6628416,0,2,train
DGS,RFR,0,0,0.9004983409718562,65451572,6512540,0,3,train
DGS,RFR,0,0,0.9005010910967883,65451572,6512360,0,4,train
DGS,RFR,0,0,0.9005015800078874,65451572,6512328,0,5,train
DGS,RFR,0,0,0.9018594694715659,65451572,6423452,0,6,train
DGS,RFR,0,0,0.9543460120665755,65451544,2988124,3,6,train
DGS,RFR,0,0,0.8912182117506655,65451544,7119936,2,0,train
DGS,RFR,0,2,0.9056922269185529,65451572,6172592,0,6,train
DGS,RFR,0,1,0.8980168901745084,65451544,6674952,1,2,train
DGS,RFR,0,0,0.8942849690451916,65451544,6919212,1,0,train
DGS,RFR,0,0,0.8942868024625974,65451544,6919092,1,1,train
DGS,RFR,0,0,0.8977032535703053,65451544,6695480,1,2,train
DGS,RFR,0,0,0.8997656648099852,65451544,6560492,1,3,train
DGS,RFR,0,0,0.8997425637506733,65451544,6562004,1,4,train
DGS,RFR,0,0,0.9036030074401301,65451544,6309332,1,5,train
DGS,RFR,0,0,0.9046070479254088,65451544,6243616,1,6,train
DGS,RFR,0,1,0.8945505089994515,65451544,6901832,1,0,train
DGS,RFR,0,1,0.8945503867716245,65451544,6901840,1,1,train
DGS,RFR,0,2,0.9002125297456696,65451544,6531244,1,5,train
DGS,RFR,0,2,0.9002163799222216,65451544,6530992,1,4,train
DGS,RFR,0,1,0.9000625562018827,65451544,6541060,1,3,train
DGS,RFR,0,1,0.9000191042093675,65451544,6543904,1,4,train
DGS,RFR,0,1,0.9000165374249994,65451544,6544072,1,5,train
