transformTime,features,fitTime,testCount,trainCount,f1,accuracy,weightedPrecision,weightedRecall,runId,dataset,algorithm,family,platformId,rmse,mse,mae,r2,silhouette
46581.0,27.0,232717.0,2197354.0,8802646.0,0.7142419354116676,0.7143159454507557,0.7141913437859949,0.7143159454507557,1,DHG,DT-maxDepth-15-maxBins-32,classification,5,,,,,
46704.0,27.0,233685.0,2197354.0,8802646.0,0.7142177840260333,0.7142972866456656,0.7141650632533193,0.7142972866456657,2,DHG,DT-maxDepth-15-maxBins-32,classification,5,,,,,
91954.0,27.0,445828.0,2197354.0,8802646.0,0.7142339751687092,0.7143123047082992,0.7141816948979068,0.7143123047082992,0,DHG,DT-maxDepth-15-maxBins-32,classification,1,,,,,
90827.0,27.0,442024.0,2197354.0,8802646.0,0.7142331182218813,0.7143113945226851,0.7141808578208594,0.7143113945226851,1,DHG,DT-maxDepth-15-maxBins-32,classification,1,,,,,
89863.0,27.0,444430.0,2197354.0,8802646.0,0.7142335288661342,0.7143118496154921,0.7141812518113799,0.7143118496154921,2,DHG,DT-maxDepth-15-maxBins-32,classification,1,,,,,
42130.0,27.0,216825.0,2197354.0,8802646.0,0.7142339751687092,0.7143123047082992,0.7141816948979068,0.7143123047082992,0,DHG,DT-maxDepth-15-maxBins-32,classification,4,,,,,
40717.0,27.0,215934.0,2197354.0,8802646.0,0.7142299584422398,0.7143082088730355,0.7141777071341926,0.7143082088730355,1,DHG,DT-maxDepth-15-maxBins-32,classification,4,,,,,
42083.0,27.0,216146.0,2197354.0,8802646.0,0.7142182303142024,0.7142977417384727,0.714165506389707,0.7142977417384727,2,DHG,DT-maxDepth-15-maxBins-32,classification,4,,,,,
29764.0,27.0,135417.0,2197354.0,8802646.0,0.7025861063128389,0.7028967567356011,0.7025552606855006,0.7028967567356011,0,DHG,DT-maxDepth-10-maxBins-32,classification,9,,,,,
29770.0,27.0,136745.0,2197354.0,8802646.0,0.7025861063128389,0.7028967567356011,0.7025552606855006,0.7028967567356011,1,DHG,DT-maxDepth-10-maxBins-32,classification,9,,,,,
30481.0,27.0,136647.0,2197354.0,8802646.0,0.7025846797517046,0.7028953914571798,0.7025538627960655,0.7028953914571798,2,DHG,DT-maxDepth-10-maxBins-32,classification,9,,,,,
42179.0,27.0,180941.0,2197354.0,8802646.0,0.7025851233490528,0.7028958465499869,0.7025543131855021,0.702895846549987,0,DHG,DT-maxDepth-10-maxBins-32,classification,6,,,,,
42095.0,27.0,181311.0,2197354.0,8802646.0,0.7025851233490528,0.7028958465499869,0.7025543131855021,0.702895846549987,1,DHG,DT-maxDepth-10-maxBins-32,classification,6,,,,,
41930.0,27.0,181299.0,2197354.0,8802646.0,0.7025842361542676,0.7028949363643728,0.7025534124070625,0.7028949363643728,2,DHG,DT-maxDepth-10-maxBins-32,classification,6,,,,,
30273.0,27.0,138109.0,2197354.0,8802646.0,0.7025851233490528,0.7028958465499869,0.7025543131855021,0.702895846549987,0,DHG,DT-maxDepth-10-maxBins-32,classification,8,,,,,
29846.0,27.0,137094.0,2197354.0,8802646.0,0.7025851233490528,0.7028958465499869,0.7025543131855021,0.702895846549987,1,DHG,DT-maxDepth-10-maxBins-32,classification,8,,,,,
30017.0,27.0,138993.0,2197354.0,8802646.0,0.7025861063128389,0.7028967567356011,0.7025552606855006,0.7028967567356011,2,DHG,DT-maxDepth-10-maxBins-32,classification,8,,,,,
30063.0,27.0,136739.0,2197354.0,8802646.0,0.7025846797517046,0.7028953914571798,0.7025538627960655,0.7028953914571798,0,DHG,DT-maxDepth-10-maxBins-32,classification,10,,,,,
30110.0,27.0,135532.0,2197354.0,8802646.0,0.7025846797517046,0.7028953914571798,0.7025538627960655,0.7028953914571798,1,DHG,DT-maxDepth-10-maxBins-32,classification,10,,,,,
31070.0,27.0,139651.0,2197354.0,8802646.0,0.7025846797517046,0.7028953914571798,0.7025538627960655,0.7028953914571798,2,DHG,DT-maxDepth-10-maxBins-32,classification,10,,,,,
29777.0,27.0,138015.0,2197354.0,8802646.0,0.7025846797517046,0.7028953914571798,0.7025538627960655,0.7028953914571798,0,DHG,DT-maxDepth-10-maxBins-32,classification,7,,,,,
29760.0,27.0,137825.0,2197354.0,8802646.0,0.7025851233490528,0.7028958465499869,0.7025543131855021,0.702895846549987,1,DHG,DT-maxDepth-10-maxBins-32,classification,7,,,,,
29428.0,27.0,136802.0,2197354.0,8802646.0,0.7025846797517046,0.7028953914571798,0.7025538627960655,0.7028953914571798,2,DHG,DT-maxDepth-10-maxBins-32,classification,7,,,,,
28369.0,27.0,127854.0,2197354.0,8802646.0,0.7025842361542676,0.7028949363643728,0.7025534124070625,0.7028949363643728,0,DHG,DT-maxDepth-10-maxBins-32,classification,12,,,,,
28331.0,27.0,128439.0,2197354.0,8802646.0,0.7025846797517046,0.7028953914571798,0.7025538627960655,0.7028953914571798,1,DHG,DT-maxDepth-10-maxBins-32,classification,12,,,,,
29098.0,27.0,128857.0,2197354.0,8802646.0,0.702586549910778,0.7028972118284081,0.702555711073158,0.7028972118284081,2,DHG,DT-maxDepth-10-maxBins-32,classification,12,,,,,
42164.0,27.0,184214.0,2197354.0,8802646.0,0.7025861063128389,0.7028967567356011,0.7025552606855006,0.7028967567356011,0,DHG,DT-maxDepth-10-maxBins-32,classification,3,,,,,
41012.0,27.0,181255.0,2197354.0,8802646.0,0.7025861063128389,0.7028967567356011,0.7025552606855006,0.7028967567356011,1,DHG,DT-maxDepth-10-maxBins-32,classification,3,,,,,
42283.0,27.0,181857.0,2197354.0,8802646.0,0.7025861063128389,0.7028967567356011,0.7025552606855006,0.7028967567356011,2,DHG,DT-maxDepth-10-maxBins-32,classification,3,,,,,
52281.0,27.0,228718.0,2197354.0,8802646.0,0.7025846797517046,0.7028953914571798,0.7025538627960655,0.7028953914571798,0,DHG,DT-maxDepth-10-maxBins-32,classification,2,,,,,
52129.0,27.0,227186.0,2197354.0,8802646.0,0.7025861063128389,0.7028967567356011,0.7025552606855006,0.7028967567356011,1,DHG,DT-maxDepth-10-maxBins-32,classification,2,,,,,
52397.0,27.0,228878.0,2197354.0,8802646.0,0.7025861063128389,0.7028967567356011,0.7025552606855006,0.7028967567356011,2,DHG,DT-maxDepth-10-maxBins-32,classification,2,,,,,
32528.0,27.0,149118.0,2197354.0,8802646.0,0.7025846797517046,0.7028953914571798,0.7025538627960655,0.7028953914571798,0,DHG,DT-maxDepth-10-maxBins-32,classification,11,,,,,
32620.0,27.0,148690.0,2197354.0,8802646.0,0.7025846797517046,0.7028953914571798,0.7025538627960655,0.7028953914571798,1,DHG,DT-maxDepth-10-maxBins-32,classification,11,,,,,
32643.0,27.0,143527.0,2197354.0,8802646.0,0.7025846797517046,0.7028953914571798,0.7025538627960655,0.7028953914571798,2,DHG,DT-maxDepth-10-maxBins-32,classification,11,,,,,
45491.0,27.0,202931.0,2197354.0,8802646.0,0.7025861063128389,0.7028967567356011,0.7025552606855006,0.7028967567356011,0,DHG,DT-maxDepth-10-maxBins-32,classification,5,,,,,
45560.0,27.0,202345.0,2197354.0,8802646.0,0.7025851233490528,0.7028958465499869,0.7025543131855021,0.702895846549987,1,DHG,DT-maxDepth-10-maxBins-32,classification,5,,,,,
46817.0,27.0,206506.0,2197354.0,8802646.0,0.7025846797517046,0.7028953914571798,0.7025538627960655,0.7028953914571798,2,DHG,DT-maxDepth-10-maxBins-32,classification,5,,,,,
91099.0,27.0,398905.0,2197354.0,8802646.0,0.7025861063128389,0.7028967567356011,0.7025552606855006,0.7028967567356011,0,DHG,DT-maxDepth-10-maxBins-32,classification,1,,,,,
90688.0,27.0,393851.0,2197354.0,8802646.0,0.7025846797517046,0.7028953914571798,0.7025538627960655,0.7028953914571798,1,DHG,DT-maxDepth-10-maxBins-32,classification,1,,,,,
89626.0,27.0,392567.0,2197354.0,8802646.0,0.7025851233490528,0.7028958465499869,0.7025543131855021,0.702895846549987,2,DHG,DT-maxDepth-10-maxBins-32,classification,1,,,,,
42061.0,27.0,183795.0,2197354.0,8802646.0,0.7025851233490528,0.7028958465499869,0.7025543131855021,0.702895846549987,0,DHG,DT-maxDepth-10-maxBins-32,classification,4,,,,,
42191.0,27.0,184825.0,2197354.0,8802646.0,0.7025846797517046,0.7028953914571798,0.7025538627960655,0.7028953914571798,1,DHG,DT-maxDepth-10-maxBins-32,classification,4,,,,,
42259.0,27.0,184944.0,2197354.0,8802646.0,0.702586549910778,0.7028972118284081,0.702555711073158,0.7028972118284081,2,DHG,DT-maxDepth-10-maxBins-32,classification,4,,,,,
29998.0,27.0,141130.0,2197354.0,8802646.0,0.7025846797517046,0.7028953914571798,0.7025538627960655,0.7028953914571798,0,DHG,DT-maxDepth-10-maxBins-32,classification,101,,,,,
30603.0,27.0,142005.0,2197354.0,8802646.0,0.7025846797517046,0.7028953914571798,0.7025538627960655,0.7028953914571798,1,DHG,DT-maxDepth-10-maxBins-32,classification,101,,,,,
31036.0,27.0,143612.0,2197354.0,8802646.0,0.7025851233490528,0.7028958465499869,0.7025543131855021,0.702895846549987,2,DHG,DT-maxDepth-10-maxBins-32,classification,101,,,,,
29508.0,27.0,130676.0,2197354.0,8802646.0,0.6636469024427748,0.6642734852918556,0.6636972128304843,0.6642734852918555,0,DHG,DT-maxDepth-5-maxBins-32,classification,9,,,,,
30484.0,27.0,134588.0,2197354.0,8802646.0,0.6636469347765778,0.6642734852918556,0.6636972226996174,0.6642734852918556,1,DHG,DT-maxDepth-5-maxBins-32,classification,9,,,,,
30565.0,27.0,134483.0,2197354.0,8802646.0,0.6636469347765778,0.6642734852918556,0.6636972226996174,0.6642734852918556,2,DHG,DT-maxDepth-5-maxBins-32,classification,9,,,,,
42143.0,27.0,176332.0,2197354.0,8802646.0,0.6636469347765778,0.6642734852918556,0.6636972226996174,0.6642734852918556,0,DHG,DT-maxDepth-5-maxBins-32,classification,6,,,,,
42164.0,27.0,176555.0,2197354.0,8802646.0,0.6636469347765778,0.6642734852918556,0.6636972226996174,0.6642734852918556,1,DHG,DT-maxDepth-5-maxBins-32,classification,6,,,,,
42105.0,27.0,175735.0,2197354.0,8802646.0,0.6636469024427748,0.6642734852918556,0.6636972128304843,0.6642734852918555,2,DHG,DT-maxDepth-5-maxBins-32,classification,6,,,,,
29905.0,27.0,132227.0,2197354.0,8802646.0,0.6636469347765778,0.6642734852918556,0.6636972226996174,0.6642734852918556,0,DHG,DT-maxDepth-5-maxBins-32,classification,8,,,,,
29978.0,27.0,131540.0,2197354.0,8802646.0,0.6636493599812667,0.6642757607558909,0.6636995534515668,0.6642757607558909,1,DHG,DT-maxDepth-5-maxBins-32,classification,8,,,,,
30199.0,27.0,132900.0,2197354.0,8802646.0,0.6636493599812667,0.6642757607558909,0.6636995534515668,0.6642757607558909,2,DHG,DT-maxDepth-5-maxBins-32,classification,8,,,,,
30509.0,27.0,132663.0,2197354.0,8802646.0,0.6636469347765778,0.6642734852918556,0.6636972226996174,0.6642734852918556,0,DHG,DT-maxDepth-5-maxBins-32,classification,10,,,,,
30339.0,27.0,131515.0,2197354.0,8802646.0,0.6636469347765778,0.6642734852918556,0.6636972226996174,0.6642734852918556,1,DHG,DT-maxDepth-5-maxBins-32,classification,10,,,,,
30475.0,27.0,131005.0,2197354.0,8802646.0,0.6636469347765778,0.6642734852918556,0.6636972226996174,0.6642734852918556,2,DHG,DT-maxDepth-5-maxBins-32,classification,10,,,,,
30065.0,27.0,132487.0,2197354.0,8802646.0,0.6636469347765778,0.6642734852918556,0.6636972226996174,0.6642734852918556,0,DHG,DT-maxDepth-5-maxBins-32,classification,7,,,,,
30206.0,27.0,133030.0,2197354.0,8802646.0,0.6636469347765778,0.6642734852918556,0.6636972226996174,0.6642734852918556,1,DHG,DT-maxDepth-5-maxBins-32,classification,7,,,,,
29756.0,27.0,132985.0,2197354.0,8802646.0,0.6636493599812667,0.6642757607558909,0.6636995534515668,0.6642757607558909,2,DHG,DT-maxDepth-5-maxBins-32,classification,7,,,,,
28697.0,27.0,122117.0,2197354.0,8802646.0,0.6636469347765778,0.6642734852918556,0.6636972226996174,0.6642734852918556,0,DHG,DT-maxDepth-5-maxBins-32,classification,12,,,,,
28325.0,27.0,121786.0,2197354.0,8802646.0,0.6636469347765778,0.6642734852918556,0.6636972226996174,0.6642734852918556,1,DHG,DT-maxDepth-5-maxBins-32,classification,12,,,,,
28663.0,27.0,122887.0,2197354.0,8802646.0,0.6636469347765778,0.6642734852918556,0.6636972226996174,0.6642734852918556,2,DHG,DT-maxDepth-5-maxBins-32,classification,12,,,,,
