dataset,algorithm,platformId,runId,CpuUsage,node,timeIndex,phase
DDF,RFR-maxDepth-15,0,0,0.1335933896636996,0,0,train
DDF,RFR-maxDepth-10,0,0,0.002475247524752477,2,1,train
DDF,RFR-maxDepth-10,0,0,0.2172330097087379,2,2,train
DDF,RFR-maxDepth-10,0,0,0.1490683229813664,2,3,train
DDF,RFR-maxDepth-10,0,0,0.006195786864931829,2,4,train
DDF,RFR-maxDepth-10,0,0,0.004944375772558685,2,5,train
DDF,RFR-maxDepth-10,0,0,0.13793103448275867,2,6,train
DDF,RFR-maxDepth-10,0,0,0.343980343980344,2,7,train
DDF,RFR-maxDepth-10,0,0,0.5330882352941175,2,8,train
DDF,RFR-maxDepth-10,0,0,0.056039850560398514,2,9,train
DDF,RFR-maxDepth-10,0,0,0.33417085427135673,2,10,train
DDF,RFR-maxDepth-10,0,0,0.002484472049689489,2,11,train
DDF,RFR-maxDepth-10,0,0,0.00864197530864197,2,12,train
DDF,RFR-maxDepth-10,0,0,0.0012376237623762387,2,13,train
DDF,RFR-maxDepth-10,0,0,0.0024721878862793427,2,14,train
DDF,RFR-maxDepth-10,0,0,0.0024721878862793427,2,15,train
DDF,RFR-maxDepth-10,0,0,0.003708281829419069,2,16,train
DDF,RFR-maxDepth-10,0,0,0.0024721878862793427,2,17,train
DDF,RFR-maxDepth-10,0,0,0.0037037037037036535,2,18,train
DDF,RFR-maxDepth-10,0,0,0.0037037037037036535,2,19,train
DDF,RFR-maxDepth-10,0,0,0.14380984385090712,2,0,train
DDF,RFR-maxDepth-10,0,0,0.0024721878862793427,2,20,train
DDF,RFR-maxDepth-10,0,2,0.002481389578163795,1,79,test
DDF,RFR-maxDepth-10,0,2,0.0,1,77,test
DDF,RFR-maxDepth-10,0,2,0.28304239401496245,1,58,train
DDF,RFR-maxDepth-10,0,2,0.001242236024844745,1,59,train
DDF,RFR-maxDepth-10,0,2,0.001242236024844745,1,60,train
DDF,RFR-maxDepth-10,0,2,0.21065675340768283,1,61,train
