fitTime,trainCount,Iexecutors,r2,Icores,Shuffle,max_iter,platformId,runId,transformTime,testCount,trainTime,infTroughput
44028.0,474.0,3.0,0.7131901840490797,3,True,1,21,0,8907.0,132.0,92.88607594936708,14.81980464802964
52547.0,475.0,4.0,0.5732899022801303,2,False,1,16,0,10197.0,131.0,110.62526315789474,12.84691575953712
39104.0,474.0,1.0,0.6113375654946309,2,True,1,9,0,9731.0,132.0,82.49789029535864,13.564895694173261
44864.0,477.0,2.0,0.3683075310534391,3,False,1,20,0,9400.0,129.0,94.0545073375262,13.723404255319148
48728.0,474.0,4.0,0.11854022807874445,4,True,1,31,0,10061.0,132.0,102.80168776371308,13.119968194016499
46680.0,474.0,3.0,0.5110661618819821,1,False,1,6,0,13791.0,132.0,98.48101265822785,9.571459647596258
51150.0,486.0,4.0,0.2965575449214808,1,False,1,8,0,8919.0,120.0,105.24691358024691,13.454423141607803
40213.0,484.0,1.0,0.603719902695575,5,True,1,33,0,13273.0,122.0,83.08471074380165,9.191591953589995
54507.0,470.0,4.0,0.6013400335008374,3,False,1,24,0,10537.0,136.0,115.97234042553191,12.906899497010533
52082.0,474.0,3.0,0.7131901840490797,3,False,1,22,0,10501.0,132.0,109.87763713080169,12.570231406532711
52176.0,475.0,2.0,0.6968550696391127,5,True,1,35,0,14545.0,131.0,109.84421052631579,9.006531454107941
47508.0,474.0,1.0,0.6113375654946309,2,False,1,10,0,12407.0,132.0,100.22784810126582,10.639155315547674
46250.0,471.0,4.0,0.4554525258165666,5,True,1,39,0,11931.0,135.0,98.19532908704883,11.31506160422429
49523.0,486.0,4.0,0.2965575449214807,1,True,1,7,0,8935.0,120.0,101.89917695473251,13.430330162283155
44722.0,486.0,2.0,0.2965575449214808,2,False,1,12,0,9293.0,120.0,92.02057613168725,12.912945227590662
44901.0,474.0,2.0,0.6113375654946309,1,True,1,3,0,9568.0,132.0,94.72784810126582,13.79598662207358
39215.0,486.0,1.0,0.2965575449214808,4,True,1,25,0,10879.0,120.0,80.68930041152264,11.03042559058737
42143.0,474.0,1.0,0.6113375654946309,1,False,1,2,0,16123.0,132.0,88.90928270042194,8.187061961173479
43160.0,486.0,2.0,0.2965575449214808,2,True,1,11,0,9369.0,120.0,88.80658436213992,12.808197246237592
49452.0,470.0,3.0,0.6013400335008374,4,True,1,29,0,12265.0,136.0,105.21702127659574,11.088463106400326
53257.0,474.0,4.0,0.11854022807874445,4,False,1,32,0,9888.0,132.0,112.35654008438819,13.349514563106796
47208.0,477.0,3.0,0.3683075310534391,2,False,1,14,0,10242.0,129.0,98.96855345911949,12.595196250732277
48135.0,484.0,1.0,0.6037199026955751,5,False,1,34,0,15804.0,122.0,99.45247933884298,7.719564667172867
49808.0,475.0,4.0,0.5732899022801303,2,True,1,15,0,11017.0,131.0,104.85894736842106,11.890714350549151
48280.0,470.0,4.0,0.6013400335008374,3,True,1,23,0,11419.0,136.0,102.72340425531915,11.909974603730625
49311.0,475.0,2.0,0.6968550696391127,5,False,1,36,0,11841.0,131.0,103.81263157894738,11.06325479266954
50839.0,472.0,3.0,0.7318212141427619,5,True,1,37,0,12070.0,134.0,107.70974576271186,11.101905550952775
57097.0,470.0,3.0,0.6013400335008374,4,False,1,30,0,11810.0,136.0,121.48297872340426,11.51566469093988
38513.0,474.0,1.0,0.5110661618819821,3,True,1,17,0,9680.0,132.0,81.25105485232068,13.636363636363637
43173.0,477.0,2.0,0.3683075310534391,3,True,1,19,0,9254.0,129.0,90.50943396226415,13.939917873352064
38581.0,474.0,1.0,0.5110661618819821,3,False,1,18,0,10155.0,132.0,81.39451476793249,12.998522895125555
44191.0,474.0,3.0,0.5110661618819821,1,True,1,5,0,12889.0,132.0,93.22995780590718,10.241291023353247
42128.0,474.0,1.0,0.6113375654946309,1,True,1,1,0,15755.0,132.0,88.87763713080169,8.378292605522056
38965.0,486.0,1.0,0.2965575449214808,4,False,1,26,0,10845.0,120.0,80.17489711934157,11.065006915629322
43580.0,475.0,2.0,0.5732899022801303,4,True,1,27,0,9940.0,131.0,91.74736842105263,13.179074446680081
46591.0,477.0,3.0,0.3683075310534391,2,True,1,13,0,8868.0,129.0,97.67505241090147,14.546684709066305
41222.0,474.0,2.0,0.6113375654946309,1,False,1,4,0,13740.0,132.0,86.96624472573839,9.606986899563319
53768.0,471.0,4.0,0.4554525258165664,5,False,1,40,0,11679.0,135.0,114.15711252653928,11.559208836372976
46913.0,475.0,2.0,0.5732899022801303,4,False,1,28,0,9985.0,131.0,98.7642105263158,13.11967951927892
59039.0,472.0,3.0,0.7318212141427618,5,False,1,38,0,14413.0,134.0,125.08262711864407,9.297162284049122
50390.0,474.0,3.0,0.7131901840490797,3,True,3,21,0,9041.0,132.0,106.30801687763713,14.600154850127197
52054.0,475.0,4.0,0.5732899022801303,2,False,3,16,0,8777.0,131.0,109.58736842105263,14.925373134328359
54592.0,474.0,1.0,0.6111958778057414,2,True,3,9,0,10141.0,132.0,115.17299578059071,13.016467803964106
62608.0,477.0,2.0,0.3682641116932712,3,False,3,20,0,9454.0,129.0,131.25366876310272,13.645017981806642
70287.0,474.0,4.0,0.11866868985622958,4,True,3,31,0,11422.0,132.0,148.28481012658227,11.556645070915776
67667.0,474.0,3.0,0.5111684434022057,1,False,3,6,0,9037.0,132.0,142.75738396624473,14.60661724023459
69898.0,486.0,4.0,0.2954702043062051,1,False,3,8,0,12822.0,120.0,143.8230452674897,9.358914365933552
52825.0,484.0,1.0,0.6037720984332774,5,True,3,33,0,11945.0,122.0,109.14256198347107,10.213478442863122
54839.0,470.0,4.0,0.6013400335008374,3,False,3,24,0,10526.0,136.0,116.67872340425532,12.92038761162835
51309.0,474.0,3.0,0.7131901840490797,3,False,3,22,0,9084.0,132.0,108.24683544303798,14.53104359313078
56485.0,475.0,2.0,0.6968604959125455,5,True,3,35,0,11289.0,131.0,118.91578947368421,11.604216493932146
53623.0,474.0,1.0,0.6111958778057414,2,False,3,10,0,10314.0,132.0,113.12869198312237,12.798138452588715
75268.0,471.0,4.0,0.4588068368736624,5,True,3,39,0,13690.0,135.0,159.80467091295117,9.861212563915267
63243.0,486.0,4.0,0.2954702043062051,1,True,3,7,0,8845.0,120.0,130.12962962962962,13.566986998304126
58021.0,486.0,2.0,0.2954702043062051,2,False,3,12,0,9348.0,120.0,119.38477366255144,12.836970474967906
61056.0,474.0,2.0,0.6111958778057414,1,True,3,3,0,13428.0,132.0,128.81012658227849,9.830205540661304
50489.0,486.0,1.0,0.29547020430620496,4,True,3,25,0,10801.0,120.0,103.88683127572017,11.110082399777799
